(100, 0.003773212432861328)
(101, 0.0037887096405029297)
(102, 0.003921985626220703)
(103, 0.003892183303833008)
(104, 0.0040171146392822266)
(105, 0.003978252410888672)
(106, 0.0040547847747802734)
(107, 0.004012584686279297)
(108, 0.004051685333251953)
(109, 0.0042133331298828125)
(110, 0.004230022430419922)
(111, 0.004168272018432617)
(112, 0.0042095184326171875)
(113, 0.004252433776855469)
(114, 0.0043182373046875)
(115, 0.004335641860961914)
(116, 0.0044553279876708984)
(117, 0.004408359527587891)
(118, 0.004427909851074219)
(119, 0.00451207160949707)
(120, 0.0045490264892578125)
(121, 0.0046427249908447266)
(122, 0.0046231746673583984)
(123, 0.004681587219238281)
(124, 0.0046617984771728516)
(125, 0.004748821258544922)
(126, 0.004758596420288086)
(127, 0.0049114227294921875)
(128, 0.005044221878051758)
(129, 0.005108356475830078)
(130, 0.005139827728271484)
(131, 0.005181074142456055)
(132, 0.005236625671386719)
(133, 0.005366325378417969)
(134, 0.0053708553314208984)
(135, 0.005356550216674805)
(136, 0.005415678024291992)
(137, 0.0055158138275146484)
(138, 0.005507469177246094)
(139, 0.005553007125854492)
(140, 0.0055735111236572266)
(141, 0.005610227584838867)
(142, 0.005637645721435547)
(143, 0.005821943283081055)
(144, 0.00573277473449707)
(145, 0.005777120590209961)
(146, 0.0058574676513671875)
(147, 0.005936861038208008)
(148, 0.005913972854614258)
(149, 0.005972623825073242)
(150, 0.006019115447998047)
(151, 0.006136894226074219)
(152, 0.006081819534301758)
(153, 0.006104707717895508)
(154, 0.006165027618408203)
(155, 0.006276369094848633)
(156, 0.0062711238861083984)
(157, 0.006319284439086914)
(158, 0.00634002685546875)
(159, 0.0063931941986083984)
(160, 0.0064105987548828125)
(161, 0.006472349166870117)
(162, 0.0066373348236083984)
(163, 0.006549835205078125)
(164, 0.0066204071044921875)
(165, 0.0066716670989990234)
(166, 0.0067217350006103516)
(167, 0.006775617599487305)
(168, 0.006843090057373047)
(169, 0.006769895553588867)
(170, 0.006955146789550781)
(171, 0.006881237030029297)
(172, 0.006977081298828125)
(173, 0.007024288177490234)
(174, 0.007046937942504883)
(175, 0.007053852081298828)
(176, 0.007206439971923828)
(177, 0.007245779037475586)
(178, 0.007216691970825195)
(179, 0.007303476333618164)
(180, 0.007334709167480469)
(181, 0.00730586051940918)
(182, 0.0072994232177734375)
(183, 0.007375478744506836)
(184, 0.007480621337890625)
(185, 0.007512807846069336)
(186, 0.00751805305480957)
(187, 0.007666587829589844)
(188, 0.0076656341552734375)
(189, 0.007748603820800781)
(190, 0.007769346237182617)
(191, 0.007796525955200195)
(192, 0.007859468460083008)
(193, 0.007772684097290039)
(194, 0.007896900177001953)
(195, 0.007921457290649414)
(196, 0.007957220077514648)
(197, 0.007988452911376953)
(198, 0.007996082305908203)
(199, 0.008224010467529297)
(200, 0.008286714553833008)
(201, 0.008118152618408203)
(202, 0.00842428207397461)
(203, 0.00829005241394043)
(204, 0.008330106735229492)
(205, 0.008237838745117188)
(206, 0.008497238159179688)
(207, 0.008655786514282227)
(208, 0.008450031280517578)
(209, 0.008491754531860352)
(210, 0.008633852005004883)
(211, 0.008546113967895508)
(212, 0.008748292922973633)
(213, 0.008795022964477539)
(214, 0.008728504180908203)
(215, 0.008785724639892578)
(216, 0.008800745010375977)
(217, 0.008844614028930664)
(218, 0.00879526138305664)
(219, 0.009119749069213867)
(220, 0.009088516235351562)
(221, 0.009115457534790039)
(222, 0.009041786193847656)
(223, 0.009132146835327148)
(224, 0.009077310562133789)
(225, 0.009264469146728516)
(226, 0.009262323379516602)
(227, 0.009248018264770508)
(228, 0.009311437606811523)
(229, 0.009598731994628906)
(230, 0.00948953628540039)
(231, 0.009583711624145508)
(232, 0.009795665740966797)
(233, 0.009696722030639648)
(234, 0.009702205657958984)
(235, 0.009993791580200195)
(236, 0.009896516799926758)
(237, 0.009985685348510742)
(238, 0.009944438934326172)
(239, 0.009814262390136719)
(240, 0.009865522384643555)
(241, 0.010016918182373047)
(242, 0.009948968887329102)
(243, 0.010313749313354492)
(244, 0.010099172592163086)
(245, 0.010468006134033203)
(246, 0.010171890258789062)
(247, 0.010138750076293945)
(248, 0.010309457778930664)
(249, 0.010434389114379883)
(250, 0.010382652282714844)
(251, 0.010356664657592773)
(252, 0.010698556900024414)
(253, 0.010475635528564453)
(254, 0.010655641555786133)
(255, 0.01051783561706543)
(256, 0.010561466217041016)
(257, 0.010781288146972656)
(258, 0.010912418365478516)
(259, 0.010785102844238281)
(260, 0.010717153549194336)
(261, 0.010821104049682617)
(262, 0.011110067367553711)
(263, 0.010894060134887695)
(264, 0.010865211486816406)
(265, 0.010938405990600586)
(266, 0.011150598526000977)
(267, 0.011067867279052734)
(268, 0.011281728744506836)
(269, 0.011167526245117188)
(270, 0.011192798614501953)
(271, 0.011437416076660156)
(272, 0.011367321014404297)
(273, 0.011490345001220703)
(274, 0.01184844970703125)
(275, 0.011518478393554688)
(276, 0.011599302291870117)
(277, 0.011768341064453125)
(278, 0.011799812316894531)
(279, 0.01153421401977539)
(280, 0.01181936264038086)
(281, 0.01168680191040039)
(282, 0.011809349060058594)
(283, 0.011753559112548828)
(284, 0.011898517608642578)
(285, 0.011969566345214844)
(286, 0.011901378631591797)
(287, 0.012419462203979492)
(288, 0.012159109115600586)
(289, 0.012033224105834961)
(290, 0.012115716934204102)
(291, 0.012150287628173828)
(292, 0.012461423873901367)
(293, 0.012336015701293945)
(294, 0.012414932250976562)
(295, 0.01268458366394043)
